#OTU ID	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3
5a9108e14819f35ae1b0c8ef0f961eed	16	267	274	78	0	72	34	60	30	0	9	125	9	112	82	49	165	39	0	14	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	78	70	53	60	70	0	149	0	0	255
e83105329156b70a8d2fa4db8525cf6f	13	22	8	0	0	27	0	0	0	17	27	28	0	30	23	0	14	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	5	1985
7942635c66482e0320c9b820bcd72b4a	0	264	268	70	0	52	52	63	30	0	0	154	0	129	115	47	94	48	0	0	0	0	0	0	0	0	0	22	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	73	56	58	71	84	0	145	0	0	238
b75d418fb8e7f1412cb12c9cdb28db02	628	514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	505
beab5a70b90982183e20e530ab20051f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	55	78	96	0	0	54	0	72	0	138	0	0	62	0	45	0	0	723	151	128	131	0	137	151	84	0	0	0	0	0	0	0	0	0	0	0	0
eda4fc329b11168de601d849a97c1d77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	52	49	0	87	100	60	0	56	59	69	56	130	0	0	0	0	0	0	0	497	175	122	165	0	153	185	107	0	0	0	0	0	0	0	0	0	0	0	0
635abf43263ae0888151c07d10eaaf06	329	187	150	27	32	26	24	30	27	49	73	70	27	54	45	29	67	39	0	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	63	47	40	12	30	43	81	85	36	127	237
33fbb5d64f05372964c3453329758d67	169	161	144	41	43	24	26	33	32	40	42	90	16	46	46	25	46	15	0	6	5	9	6	15	27	27	9	27	0	0	14	8	55	10	5	10	4	7	7	12	61	29	24	25	7	28	24	18	28	18	42	39	13	29	30	48	101	36	117	102
7e4993de8294e52eba8ba1002a5dfab3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	41	53	48	59	50	93	93	53	0	66	63	47	41	164	38	40	53	70	25	37	48	304	107	86	87	58	83	90	50	0	0	0	0	0	0	0	0	0	0	0	0
121d9064caf56d4d6e1ea4caa4254c02	100	103	82	67	33	43	47	50	21	74	83	80	69	83	79	62	86	52	0	0	0	0	0	0	0	0	0	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	44	55	73	44	60	52	82	81	71	98	70
054cafdec4984beca333fb87235430b3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	45	33	74	58	43	84	78	61	0	63	52	49	64	123	45	34	69	57	26	32	36	290	90	106	90	47	72	105	60	0	0	0	0	0	0	0	0	0	0	0	0
5d9580c4bee3eacc01c784b253aaf77e	0	66	61	56	0	65	49	50	16	0	0	58	0	68	54	42	80	35	20	17	22	55	43	31	33	36	45	12	30	46	42	30	26	29	22	33	24	15	38	27	11	34	28	42	22	30	27	18	60	0	41	33	33	54	70	0	68	0	0	62
9f9e2dda840aca8ad5a583fb8fff7c0c	78	91	73	66	43	40	89	49	0	71	56	73	49	92	86	41	79	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	30	50	73	49	65	56	91	96	66	89	107
bcc74a9f085c228949c2c1f449ae771b	0	160	214	82	0	55	69	64	17	0	0	136	0	119	76	81	120	43	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	44	84	43	47	58	0	111	0	0	232
93995a5ab1ecd183903a10e39df95dfb	7	189	254	46	0	55	44	79	35	15	12	84	0	81	77	23	101	30	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	41	53	53	59	51	0	162	0	0	244
7a078846a3c7f7e4f862557d6d8cfd52	551	0	0	0	75	0	0	0	0	164	182	0	99	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	234	0	97	316	0
63bc64c5810c4d164c8c4ec6f622b1fe	81	85	68	26	26	36	28	12	13	64	66	76	25	57	54	29	65	31	0	9	14	13	19	0	32	29	13	13	28	16	13	24	31	12	10	9	13	0	4	12	63	28	37	27	14	29	49	17	27	47	27	28	0	28	27	41	68	32	60	52
cf1bc3bfe0ddf7075133aac815b229dc	71	76	74	61	47	40	59	47	14	87	71	74	68	77	92	53	79	55	20	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	38	48	47	39	76	57	82	56	65	75	43
960932d3916aa19d72667c5d50ced896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	39	47	52	48	51	76	69	62	0	48	79	61	57	104	32	34	33	31	15	39	22	200	103	82	106	19	100	114	67	0	0	0	0	0	0	0	0	0	0	0	0
fb0a1999a24eea7ee5b9329e529e6780	164	114	100	31	19	29	39	37	14	42	95	65	39	57	56	44	64	35	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	57	32	31	32	40	44	112	62	50	129	95
c72b9c39afa61913477d16b4da88803a	67	83	71	45	0	64	84	59	22	70	79	56	0	54	60	48	82	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	48	57	48	56	74	62	58	60	77	80	74
507391f4be5cec8e66ac04e692955004	0	0	0	1356	40	5	0	0	0	0	0	0	0	18	0	2	0	2	70	0	6	0	0	0	0	0	2	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	42	2	11	23	18	0	0	7	0	0
dd450d91cfa0442ee318412b0eb15786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	46	67	0	74	58	69	21	55	36	39	20	116	48	57	0	53	31	74	0	330	83	38	78	0	82	86	32	0	0	0	0	0	0	0	0	0	0	0	0
