#OTU ID	BNC10.1_1	BNC10.1_2	BNC10.1_3	BNC10.3_1	BNC10.3_2	BNC10.3_3	BNC10.5_1	BNC10.5_2	BNC10.5_3	BNC10.7_1	BNC10.7_2	BNC10.7_3	BNC.no_1	BNC.no_2	BNC.no_3	BAF10.1_1	BAF10.1_2	BAF10.1_3	BAF10.3_1	BAF10.3_2	BAF10.3_3	BAF10.5_1	BAF10.5_2	BAF10.5_3	BAF10.7_1	BAF10.7_2	BAF10.7_3	BAF.no_1	BAF.no_2	BAF.no_3	RNC10.1_1	RNC10.1_2	RNC10.1_3	RNC10.3_1	RNC10.3_2	RNC10.3_3	RNC10.5_1	RNC10.5_2	RNC10.5_3	RNC10.7_1	RNC10.7_2	RNC10.7_3	RNC.no_1	RNC.no_2	RNC.no_3	RAF10.1_1	RAF10.1_2	RAF10.1_3	RAF10.3_1	RAF10.3_2	RAF10.3_3	RAF10.5_1	RAF10.5_2	RAF10.5_3	RAF10.7_1	RAF10.7_2	RAF10.7_3	RAF.no_1	RAF.no_2	RAF.no_3
6a37ad7981e38d5bc0f65ea9c39236eb	0	0	0	226	30	42	151	96	103	45	85	74	13	0	169	856	679	302	8314	4994	9674	183	226	302	123	0	66	111	91	113	32	41	46	0	226	207	48	191	139	99	175	68	71	111	99	801	710	454	1324	3248	2429	219	288	327	161	178	252	557	471	433
96a7170d4b731a918bcd4ae603e49738	173	89	0	130	106	127	2616	974	1683	625	278	441	136	308	217	211	247	135	293	278	356	4415	4200	3121	239	0	0	0	0	0	280	101	231	0	97	124	1390	2851	3007	318	408	206	121	113	98	0	144	125	170	216	326	2284	3117	2585	88	101	104	89	0	0
9f47c81042036b5d0b246b006f10a96a	0	0	56	75	0	0	0	0	0	0	0	0	0	0	0	0	133	78	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	297	436	4455	723	371	5277	4601	9250	343	11829	326	397	65	96	126	0	0	191	182	422	0	130	0	0	0	0
c547db08112010b6a46f04b05794f929	126	233	43	653	151	285	439	345	349	327	178	152	201	337	590	643	948	831	348	386	478	686	406	319	492	504	752	622	770	642	403	676	261	390	468	1387	342	861	631	232	259	243	244	215	510	1985	1561	2605	509	946	1173	1094	875	665	825	1381	2225	2663	178	371
8a166567ddf3c9d5c170b73be84d83ea	317	220	0	258	229	306	2494	3035	2609	784	267	529	199	331	262	197	222	145	288	458	484	3514	1097	1922	163	0	0	0	0	0	347	61	215	0	163	167	1935	3130	2472	319	393	151	151	129	145	117	184	165	440	590	588	2494	2111	1971	117	115	118	140	0	0
7ca8a41c81d5e4e3bfcb98f198e40976	0	0	0	0	0	82	0	0	0	0	56	0	100	0	117	0	0	0	622	594	753	0	0	0	2809	44	0	0	0	797	47	37	0	114	124	84	0	0	0	120	178	0	196	0	179	0	333	256	1442	732	1270	4875	5667	202	7259	204	7785	1700	254	0
90200c247e96e3159157d8f093e5a206	739	336	0	910	2541	1164	341	561	183	2074	1523	1262	1985	386	192	203	373	137	223	327	120	118	156	135	593	611	371	242	547	420	635	614	586	3814	1747	3930	196	319	237	573	207	232	1213	692	976	112	191	174	75	145	104	49	34	59	581	313	745	67	374	440
e9e982a955443d44e0473b680caf174d	661	318	0	915	2409	1177	322	592	182	2119	1538	1324	1980	384	164	199	418	120	190	308	144	130	134	137	605	623	380	244	508	452	673	621	550	3703	1762	4001	167	271	248	618	187	230	1131	566	919	99	192	164	72	118	67	52	0	92	640	284	810	65	362	416
4998a2920c65fd406849c92abaabc22e	56	0	45	753	275	164	199	125	149	68	39	41	0	244	163	538	583	524	2221	1341	2115	105	123	106	141	0	0	0	0	0	0	38	0	287	392	234	154	189	108	64	72	142	470	422	44	1117	940	895	1644	1909	2015	376	332	499	3466	4438	325	5628	96	67
d7e46fc3fda53547011adc8495143989	287	170	0	369	305	259	221	214	128	2135	3459	2284	1331	1259	179	324	449	144	308	273	202	113	161	146	764	794	478	144	1498	546	245	202	249	268	102	261	127	219	121	219	127	1462	2920	401	2608	184	91	193	444	296	260	62	61	124	558	763	429	72	28	1177
